"","V1","V2"
"1","Otus scops scops","https://eol.org/pages/1275742"
"2","Otus scops cycladum","https://eol.org/pages/1228242"
"3","Otus scops mallorcae","https://eol.org/pages/1238200"
"4","Otus scops","https://eol.org/pages/45518929"
"5","Otus scops pulchellus","https://eol.org/pages/1238175"
"6","Otus scops turanicus","https://eol.org/pages/1267389"
"7","Tyto alba alba","https://eol.org/pages/1285999"
"8","Tyto alba detorta","https://eol.org/pages/1298657"
"9","Tyto alba erlangeri","https://eol.org/pages/1298658"
"10","Tyto alba guttata","https://eol.org/pages/1227568"
"11","Tyto alba gracilirostris","https://eol.org/pages/1266420"
"12","Tyto alba poensis","https://eol.org/pages/1298647"
"13","Tyto alba ernesti","https://eol.org/pages/1269904"
